,Close,ma7,ma25,after_close_price,ma_action,cash
2589,2404.62,2400.0542857142855,2361.6396,2371.56,-1,12478.900875585996
2601,2371.56,2382.8342857142857,2409.9372,2443.85,1,12859.283300781273
2607,2443.85,2443.4385714285713,2408.0296000000003,2470.86,-1,12717.159503512985
2618,2470.86,2462.4914285714285,2449.0624000000003,2410.56,-1,13027.514893159438
2622,2410.56,2425.1757142857145,2445.2147999999997,2384.56,1,12887.001739692134
2625,2384.56,2396.0257142857145,2426.1292000000003,2432.82,1,13147.815769935678
2648,2432.82,2424.7314285714288,2393.0624,2468.24,-1,12956.39362009676
2659,2468.24,2470.8814285714284,2436.7708,2437.44,-1,13118.070330424353
2670,2437.44,2450.687142857143,2461.7724,2535.59,1,13646.30429841173
2678,2535.59,2530.6357142857146,2491.0735999999997,2540.55,-1,13619.610050004012
2706,2540.55,2546.3571428571427,2535.7084,2558.3,-1,13524.454245793282
2721,2558.3,2563.7400000000002,2549.5752,2543.99,-1,13600.104068041379
2726,2543.99,2540.094285714286,2553.9624,2553.76,1,13652.334232760883
2733,2553.76,2551.0271428571427,2546.6068,2569.16,-1,13570.00623514775
2740,2569.16,2575.5214285714287,2559.0616,2602.36,-1,13394.647671645707
2744,2602.36,2597.9585714285713,2576.2136,2544.52,-1,13692.356836145618
2750,2544.52,2544.2557142857145,2576.7224,2584.0,1,13904.80328887188
2796,2584.0,2580.5299999999997,2578.3788,2580.55,-1,13923.36813846422
2798,2580.55,2580.862857142857,2579.308,2571.61,-1,13971.60394523327
2801,2571.61,2570.022857142857,2576.918,2594.91,1,14098.19326940137
2806,2594.91,2600.4785714285713,2582.3163999999997,2611.29,-1,14009.200431209372
2820,2611.29,2607.692857142857,2614.2864,2621.08,1,14061.722392470489
2828,2621.08,2622.914285714286,2614.2748,2618.98,-1,14072.988594579614
2835,2618.98,2623.8728571428574,2622.2672,2613.71,-1,14101.306737480068
2837,2613.71,2613.9557142857143,2619.69,2596.98,1,14011.046202945618
2843,2596.98,2594.6671428571426,2608.2292,2615.43,1,14110.58636207058
2857,2615.43,2617.722857142857,2606.8728,2561.14,-1,14403.488001035039
2863,2561.14,2565.2214285714285,2594.3328,2567.74,1,14440.605464667184
2868,2567.74,2572.035714285714,2567.4556,2565.47,-1,14453.371622613391
2871,2565.47,2558.89,2563.928,2553.46,1,14385.70955944852
2873,2553.46,2558.381428571429,2564.2568,2618.5,1,14752.132589277275
2878,2618.5,2614.652857142857,2577.0348,2544.1,-1,15171.28808465334
2885,2544.1,2541.3228571428576,2580.356,2492.37,1,14862.805425709465
2898,2492.37,2497.905714285714,2509.0056,2553.0,1,15224.36165249793
2936,2553.0,2559.61,2542.5188,2623.87,-1,14801.741006077042
2943,2623.87,2624.2671428571425,2585.8779999999997,2679.16,-1,14489.839783750478
2958,2679.16,2692.1614285714286,2684.8540000000003,2663.75,-1,14573.182484846191
2961,2663.75,2670.85,2680.598,2683.71,1,14682.382192925978
2971,2683.71,2692.112857142857,2684.5712,2683.93,-1,14681.178588929108
2975,2683.93,2681.808571428571,2684.6440000000002,2688.96,1,14708.692841648932
2978,2688.96,2692.1357142857146,2686.7448,2698.83,-1,14654.703641978029
2982,2698.83,2697.297142857143,2690.6332,2751.42,-1,14369.138836291258
2991,2751.42,2739.65,2711.8720000000003,2731.57,-1,14472.804363873518
3002,2731.57,2727.287142857143,2737.6124,2779.66,1,14727.60184732028
3013,2779.66,2774.91,2750.9588,2748.04,-1,14895.135563822394
3038,2748.04,2748.9357142857143,2776.6012,2760.89,1,14964.786111847574
3055,2760.89,2762.195714285714,2773.9352000000003,2782.11,1,15079.804370921065
3063,2782.11,2786.9842857142858,2774.7552,2788.36,-1,15045.927645227885
3069,2788.36,2782.754285714286,2787.1715999999997,2801.18,1,15115.1040759656
3071,2801.18,2795.8728571428574,2789.4103999999998,2764.76,-1,15311.625574208007
