,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value
2022/1/2 3:15,BTC,-1,47325.12,0.21172734,47325.12,0,0,0,0.220261643,47325.12,2.166992578,10022.02616
2022/1/2 3:30,BTC,-1,47325.12,0.21172734,47325.12,0,0,0,0.220261643,47319.87,2.155658709,10022.02616
2022/1/2 3:45,BTC,0,47301.01,0.21172734,47301.01,10023.12352,3.101762758,0.030955649,0.231235218,47329.15,2.175692672,10023.12352
2022/1/2 4:00,BTC,1,47400,0.21141601,47400,0,0,0,0.231235218,47521.68,2.591332634,10023.12352
2022/1/2 4:15,BTC,0,47468.01,0.21141601,47468.01,10031.4831,10.36420395,0.10342362,0.31483101,47388.65,2.304143188,10031.4831
2022/1/2 4:30,BTC,0,47468.01,0.21141601,47468.01,10031.4831,0,0,0.31483101,47397.86,2.324026032,10031.4831
2022/1/2 4:45,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47446.6,2.429247513,10031.4831
2022/1/2 5:00,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47418.35,2.368260504,10031.4831
2022/1/2 5:15,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47306.07,2.125866825,10031.4831
2022/1/2 5:30,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47349.99,2.220682735,10031.4831
2022/1/2 5:45,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47295.05,2.102076494,10031.4831
2022/1/2 6:00,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47389.65,2.30630202,10031.4831
2022/1/2 6:15,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47467.65,2.474690931,10031.4831
2022/1/2 6:30,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47342.95,2.205484556,10031.4831
2022/1/2 6:45,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47425.24,2.383134857,10031.4831
2022/1/2 7:00,BTC,0,47446.6,0,47446.6,10031.4831,0,0,0.31483101,47479.91,2.501158213,10031.4831
2022/1/2 7:15,BTC,0,47571.37,0,47571.37,10031.4831,0,0,0.31483101,47571.37,2.698605006,10031.4831
2022/1/2 7:30,BTC,0,47672.36,0,47672.36,10031.4831,0,0,0.31483101,47672.36,2.916625469,10031.4831
2022/1/2 7:45,BTC,0,47672.36,0,47672.36,10031.4831,0,0,0.31483101,47425.81,2.384365392,10031.4831
2022/1/2 8:00,BTC,0,47672.36,0,47672.36,10031.4831,0,0,0.31483101,47618.35,2.800026942,10031.4831
2022/1/2 8:15,BTC,0,47672.36,0,47672.36,10031.4831,0,0,0.31483101,47669.49,2.910429621,10031.4831
2022/1/2 8:30,BTC,0,47672.36,0,47672.36,10031.4831,0,0,0.31483101,47550.81,2.654219416,10031.4831
2022/1/2 8:45,BTC,0,47672.36,0,47672.36,10031.4831,0,0,0.31483101,47443.93,2.423483431,10031.4831
2022/1/2 9:00,BTC,0,47428.18,0,47428.18,10031.4831,0,0,0.31483101,47428.18,2.389481824,10031.4831
2022/1/2 9:15,BTC,-1,47366.44,0.211742255,47366.44,0,0,0,0.31483101,47366.44,2.256195525,10031.4831
2022/1/2 9:30,BTC,0,47365.31,0.211742255,47365.31,10027.71023,-1.766578759,-0.017613868,0.277102257,47376,2.27683396,10027.71023
2022/1/2 9:45,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47422.7,2.377651424,10027.71023
2022/1/2 10:00,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47306.16,2.12606112,10027.71023
2022/1/2 10:15,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47375.31,2.275344366,10027.71023
2022/1/2 10:30,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47387.84,2.302394533,10027.71023
2022/1/2 10:45,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47279.51,2.068528242,10027.71023
2022/1/2 11:00,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47450,2.436587543,10027.71023
2022/1/2 11:15,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47282.85,2.075738742,10027.71023
2022/1/2 11:30,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47343.42,2.206499207,10027.71023
2022/1/2 11:45,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47303.93,2.121246924,10027.71023
2022/1/2 12:00,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,47347.35,2.214983418,10027.71023
2022/1/2 12:15,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,46949.93,1.357020328,10027.71023
2022/1/2 12:30,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,46924.36,1.301818989,10027.71023
2022/1/2 12:45,BTC,0,47386.83,0,47386.83,10027.71023,0,0,0.277102257,46939.24,1.333942412,10027.71023
2022/1/2 13:00,BTC,0,47012.44,0,47012.44,10027.71023,0,0,0.277102257,47012.44,1.491968928,10027.71023
2022/1/2 13:15,BTC,0,47012.44,0,47012.44,10027.71023,0,0,0.277102257,46920.45,1.293377955,10027.71023
2022/1/2 13:30,BTC,0,47012.44,0,47012.44,10027.71023,0,0,0.277102257,47032.3,1.534843336,10027.71023
2022/1/2 13:45,BTC,0,47012.44,0,47012.44,10027.71023,0,0,0.277102257,47135.4,1.757418935,10027.71023
2022/1/2 14:00,BTC,0,47012.44,0,47012.44,10027.71023,0,0,0.277102257,47132.36,1.750856085,10027.71023
2022/1/2 14:15,BTC,0,47012.44,0,47012.44,10027.71023,0,0,0.277102257,47200.01,1.896901083,10027.71023
2022/1/2 14:30,BTC,0,47012.44,0,47012.44,10027.71023,0,0,0.277102257,47129.01,1.743623997,10027.71023
2022/1/2 14:45,BTC,0,47012.44,0,47012.44,10027.71023,0,0,0.277102257,47176.98,1.847183177,10027.71023
