,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value,same_percentage
2022-02-05 22:00:00,ETH ,-1,3012.29,7.11197914801175,3012.29,21431.91643433805,-8.548714747524164,-0.0398718716598775,114.31916434338049,3012.29,-18.36811568281533,21431.916434338047,-0.8438
2022-02-05 22:15:00,ETH ,-1,3012.29,7.11197914801175,3012.29,21431.91643433805,0.0,0.0,114.31916434338049,3011.25,-18.3962992772534,21431.916434338047,-0.1577
2022-02-05 22:30:00,ETH ,-1,3012.29,7.11197914801175,3012.29,21431.91643433805,0.0,0.0,114.31916434338049,3019.57,-18.17083052174879,21431.916434338047,0.7772
2022-02-05 22:45:00,ETH ,-1,3012.29,7.11197914801175,3012.29,21431.91643433805,0.0,0.0,114.31916434338049,3019.68,-18.167849564644772,21431.916434338047,0.0229
2022-02-05 23:00:00,ETH ,-1,3012.29,7.11197914801175,3012.29,21431.91643433805,0.0,0.0,114.31916434338049,3017.52,-18.22638472232385,21431.916434338047,-0.1339
2022-02-05 23:15:00,ETH ,-1,3012.29,7.11197914801175,3012.29,21431.91643433805,0.0,0.0,114.31916434338049,3052.09,-17.289551203358183,21431.916434338047,1.2861
2022-02-05 23:30:00,ETH ,-1,3012.29,7.11197914801175,3012.29,21431.91643433805,0.0,0.0,114.31916434338049,3050.63,-17.329116634011637,21431.916434338047,-0.1242
2022-02-05 23:45:00,ETH ,-1,3051.68,7.014528524958112,3051.68,21414.662273953752,-8.681393810561799,-0.04052305720896726,114.14662273953753,3051.68,-17.300662043473203,21414.662273953752,0.1231
2022-02-06 00:00:00,ETH ,-1,3051.68,7.014528524958112,3051.68,21414.662273953752,0.0,0.0,114.14662273953753,3037.42,-17.687102482595275,21414.662273953752,-0.6274
2022-02-06 00:15:00,ETH ,-1,3051.68,7.014528524958112,3051.68,21414.662273953752,0.0,0.0,114.14662273953753,3035.99,-17.72585492494764,21414.662273953752,-0.1004
2022-02-06 00:30:00,ETH ,-1,3051.68,7.014528524958112,3051.68,21414.662273953752,0.0,0.0,114.14662273953753,3040.6,-17.600925722678856,21414.662273953752,0.4629
2022-02-06 00:45:00,ETH ,-1,3051.68,7.014528524958112,3051.68,21414.662273953752,0.0,0.0,114.14662273953753,3007.5,-18.497922814890696,21414.662273953752,-1.7096
2022-02-06 01:00:00,ETH ,-1,3051.68,7.014528524958112,3051.68,21414.662273953752,0.0,0.0,114.14662273953753,2981.64,-19.198718730437474,21414.662273953752,-0.8006
2022-02-06 01:15:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,489.10691257160494,2.284895401876986,118.95203321615777,2980.76,-19.222566387269683,21895.203321615776,-0.033
2022-02-06 01:30:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3001.12,-18.670818326924284,21895.203321615776,1.1097
2022-02-06 01:45:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3020.18,-18.154299759626465,21895.203321615776,0.9802
2022-02-06 02:00:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3014.14,-18.3179814042476,21895.203321615776,-0.5964
