trade_dt,trade_time,event_type,chain,nft identifier,quantity,payment quantity,payment symbol,event_timestamp
2023-12-27,12:10:35,sale,ethereum,13899.0,1.0,0.145,ETH,1703650235.0
2023-12-27,12:09:47,sale,ethereum,15037.0,1.0,0.1486,ETH,1703650187.0
2023-12-27,12:09:35,sale,ethereum,17814.0,1.0,0.146,ETH,1703650175.0
2023-12-27,12:09:11,sale,ethereum,13486.0,1.0,0.14,WETH,1703650151.0
2023-12-27,12:08:11,sale,ethereum,13240.0,1.0,0.1443,ETH,1703650091.0
2023-12-27,12:07:35,sale,ethereum,13469.0,1.0,0.1449,ETH,1703650055.0
2023-12-27,12:06:47,sale,ethereum,4789.0,1.0,0.148,ETH,1703650007.0
2023-12-27,12:05:47,sale,ethereum,13468.0,1.0,0.1439,ETH,1703649947.0
2023-12-27,12:05:23,sale,ethereum,17812.0,1.0,0.146,ETH,1703649923.0
2023-12-27,12:04:47,sale,ethereum,13469.0,1.0,0.14,WETH,1703649887.0
2023-12-27,12:04:11,sale,ethereum,593.0,1.0,0.148,ETH,1703649851.0
2023-12-27,12:03:47,sale,ethereum,4246.0,1.0,0.146,ETH,1703649827.0
2023-12-27,12:02:23,sale,ethereum,3532.0,1.0,0.145,ETH,1703649743.0
2023-12-27,12:01:47,sale,ethereum,20015.0,1.0,0.1445,ETH,1703649707.0
2023-12-27,12:00:47,sale,ethereum,12274.0,1.0,0.1459,ETH,1703649647.0
