,price,qty,quoteQty,isBuyerMaker
662,0.771,10.0,7.71,-1
665,0.771,1126.72,868.70112,-1
666,0.771,986.18,760.34478,-1
667,0.771,629.72,485.51412,-1
668,0.771,1000.0,771.0,-1
671,0.771,25.0,19.275,-1
677,0.77,10.0,7.7,1
678,0.77,7.68,5.9136,1
682,0.77,6.89,5.3053,1
686,0.77,388.34,299.0218,1
696,0.77,50.0,38.5,1
698,0.77,629.72,484.8844,-1
699,0.77,1129.64,869.8228,-1
701,0.77,527.73,406.3521,-1
702,0.77,2259.08,1739.4916,-1
704,0.77,12.9,9.933,-1
705,0.77,12.9,9.933,-1
707,0.77,12.14,9.3478,-1
708,0.771,500.0,385.5,-1
710,0.771,6.48,4.99608,-1
714,0.771,395.55,304.96905,-1
715,0.771,395.55,304.96905,-1
722,0.771,625.39,482.17569,-1
724,0.771,87.27,67.28517,-1
727,0.771,165.84,127.86264,-1
729,0.771,87.27,67.28517,-1
730,0.771,165.84,127.86264,-1
732,0.771,64.85,49.99935,-1
733,0.77,199.13,153.3301,1
740,0.771,87.27,67.28517,-1
741,0.771,199.13,153.52923,-1
742,0.771,87.27,67.28517,-1
743,0.771,87.27,67.28517,-1
744,0.771,87.27,67.28517,-1
745,0.771,87.27,67.28517,-1
746,0.771,87.27,67.28517,-1
761,0.772,50.0,38.6,-1
765,0.772,527.73,407.40756,-1
771,0.772,89.58,69.15576,-1
775,0.772,777.2,599.9984,-1
776,0.772,89.58,69.15576,-1
777,0.772,89.58,69.15576,-1
778,0.772,89.58,69.15576,-1
779,0.772,89.58,69.15576,-1
780,0.772,89.58,69.15576,-1
781,0.772,89.58,69.15576,-1
782,0.772,89.58,69.15576,-1
783,0.772,89.58,69.15576,-1
786,0.772,1184.59,914.50348,1
787,0.772,527.73,407.40756,1
788,0.772,2259.08,1744.00976,1
789,0.772,629.72,486.14384,1
790,0.772,500.0,386.0,1
792,0.772,12.93,9.98196,1
797,0.772,1183.06,913.32232,1
798,0.772,20.87,16.11164,-1
806,0.772,629.72,486.14384,-1
808,0.772,2259.08,1744.00976,-1
809,0.772,300.51,231.99372,-1
810,0.772,527.73,407.40756,-1
811,0.772,1000.0,772.0,-1
813,0.772,12.93,9.98196,-1
818,0.772,64.76,49.99472,-1
827,0.772,10.0,7.72,-1
830,0.772,300.0,231.6,-1
831,0.772,1000.0,772.0,-1
838,0.773,10.33,7.98509,-1
840,0.772,629.72,486.14384,1
841,0.772,1184.58,914.49576,1
842,0.772,1184.59,914.50348,1
843,0.772,527.73,407.40756,1
844,0.772,2259.08,1744.00976,1
845,0.772,12.93,9.98196,1
854,0.772,62.0,47.864,1
855,0.772,61.0,47.092,1
856,0.772,62.0,47.864,1
857,0.772,62.0,47.864,1
865,0.772,629.72,486.14384,-1
867,0.772,64.76,49.99472,-1
869,0.772,2259.08,1744.00976,-1
870,0.772,527.73,407.40756,-1
873,0.772,12.93,9.98196,-1
878,0.772,87.16,67.28752,-1
881,0.772,87.16,67.28752,-1
882,0.772,87.16,67.28752,-1
883,0.772,87.16,67.28752,-1
884,0.772,87.16,67.28752,-1
885,0.772,87.16,67.28752,-1
886,0.772,87.16,67.28752,-1
887,0.772,87.16,67.28752,-1
888,0.772,87.16,67.28752,-1
890,0.773,70.0,54.11,-1
892,0.772,468.0,361.296,1
895,0.772,1184.58,914.49576,1
896,0.772,629.72,486.14384,1
897,0.772,1183.06,913.32232,1
899,0.772,12.93,9.98196,1
907,0.772,629.72,486.14384,-1
908,0.772,12.93,9.98196,-1
915,0.773,1123.8,868.6974,-1
917,0.773,527.73,407.93529,-1
918,0.773,2259.08,1746.26884,-1
925,0.773,194.04,149.99292,-1
928,0.773,1239.48,958.11804,-1
931,0.773,87.06,67.29738,-1
934,0.773,87.06,67.29738,-1
935,0.773,87.06,67.29738,-1
936,0.773,87.06,67.29738,-1
937,0.773,87.06,67.29738,-1
938,0.773,87.06,67.29738,-1
939,0.773,87.06,67.29738,-1
940,0.773,87.06,67.29738,-1
941,0.773,87.06,67.29738,-1
944,0.773,629.72,486.77356,1
947,0.773,1181.66,913.42318,1
949,0.773,527.73,407.93529,1
952,0.773,12.91,9.97943,1
953,0.773,9.96,7.69908,1
957,0.773,12.93,9.99489,-1
960,0.773,527.73,407.93529,-1
961,0.773,1181.66,913.42318,-1
962,0.773,12.91,9.97943,-1
963,0.773,9.96,7.69908,-1
968,0.773,1183.06,914.50538,-1
980,0.773,12.91,9.97943,1
983,0.773,625.39,483.42647,1
986,0.773,1239.48,958.11804,1
989,0.773,1000.0,773.0,1
996,0.773,20.87,16.13251,-1
