,price,qty
457,4.809,8.03
458,4.81,299.86
459,4.811,95.67
460,4.812,4.78
461,4.813,335.93
462,4.814,103.81
463,4.82,1436.51
464,4.823,1.08
465,4.825,170.59
466,4.829,5059.63
467,4.83,65.9
468,4.831,27.41
469,4.832,322.69
470,4.834,18.53
471,4.835,100.0
472,4.836,2869.73
473,4.839,30.31
474,4.84,860.35
475,4.841,5.0
476,4.844,2.31
477,4.849,8.97
478,4.85,4209.88
479,4.851,14.89
480,4.853,100.0
481,4.854,13.47
482,4.86,324.34
483,4.862,5000.05
484,4.863,1.89
485,4.865,1112.93
486,4.869,46.55
487,4.87,585.4
488,4.878,200.0
489,4.88,706.0
490,4.883,220.12
491,4.888,2949.6
492,4.89,10461.07
493,4.891,9.99
494,4.893,133.18
495,4.897,31.11
496,4.898,3.5
497,4.899,62.56
498,4.9,11617.58
499,4.901,70.1
500,4.902,4.82
501,4.91,2046.42
502,4.915,1.11
503,4.917,1400.0
504,4.918,45.82
505,4.92,863.59
506,4.924,1.1
507,4.926,7.0
508,4.929,32.53
509,4.93,248.08
510,4.937,6.94
511,4.938,127.7
512,4.94,277.46
513,4.941,7.81
514,4.943,1.07
515,4.947,1.02
516,4.949,1.02
517,4.95,12766.61
518,4.951,21.35
519,4.952,3.57
520,4.953,8.03
521,4.957,1259.98
522,4.958,6.28
523,4.96,5166.23
524,4.965,49.92
525,4.968,7500.07
526,4.97,2216.72
527,4.975,29.12
528,4.98,2726.15
529,4.982,90.03
530,4.989,106.48
531,4.99,6703.04
532,4.991,9.33
533,4.993,1.1
534,4.995,431.6
535,4.996,29.48
536,4.999,185.51
537,5.0,51205.27
538,5.001,24.72
539,5.002,1.22
540,5.005,160.0
541,5.01,536.01
542,5.011,5.0
543,5.014,2.02
544,5.018,26.0
545,5.019,21.98
546,5.02,16.92
547,5.027,8.03
548,5.029,13.44
549,5.03,1482.47
550,5.045,99.51
551,5.05,14879.25
552,5.06,100.0
553,5.07,20.0
554,5.078,2.09
555,5.08,2435.73
556,5.093,1.0
557,5.1,4106.53
558,5.101,222.86
559,5.102,8.03
560,5.11,192.94
561,5.115,122.82
562,5.117,44.0
563,5.12,119.61
564,5.123,48.85
565,5.13,4985.75
566,5.14,4466.24
567,5.143,2.49
568,5.15,860.63
569,5.16,41.7
570,5.161,14.98
571,5.17,737.17
572,5.172,21.27
573,5.174,14.49
574,5.177,53.21
575,5.178,8.03
576,5.18,10.61
577,5.185,180.03
578,5.19,164.85
579,5.193,1.0
580,5.2,11245.8
581,5.21,109.79
582,5.215,12.27
583,5.22,19.28
584,5.224,7501.08
585,5.229,15.79
586,5.23,141.16
587,5.238,5.22
588,5.239,121.12
589,5.245,5.0
590,5.25,359.43
591,5.254,29.97
592,5.255,8.03
593,5.259,214.25
594,5.26,466.85
595,5.273,24.64
596,5.28,4759.04
597,5.284,18.1
598,5.287,2.59
599,5.29,62.91
600,5.293,1.0
601,5.3,2620.58
602,5.31,1039.67
603,5.316,6.11
604,5.322,18.65
605,5.327,5.12
606,5.328,1.5
607,5.33,71.5
608,5.333,50.35
609,5.334,8.03
610,5.345,41.5
611,5.346,9.45
612,5.349,2385.95
613,5.35,736.41
614,5.36,239.02
615,5.37,624.33
616,5.372,37.28
617,5.374,1141.26
618,5.378,164.71
619,5.38,60.99
620,5.388,1.9
621,5.39,122.42
