,id,price,qty,qty_1,qty_2,quoteQty,quoteQty_1,quoteQty_2,isBuyerMaker,time
195,24905581,0.771,707.46,707.5,707.0,545.45166,545.45,545.0,False,1718068338687
196,24905582,0.771,557.95,558.0,558.0,430.17945,430.18,430.0,False,1718068338690
197,24905583,0.771,625.39,625.4,625.0,482.17569,482.18,482.0,False,1718068338690
198,24905584,0.771,648.56,648.6,649.0,500.03976,500.04,500.0,False,1718068338690
199,24905585,0.771,389.35,389.4,389.0,300.18885,300.19,300.0,False,1718068338690
200,24905586,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
201,24905587,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
202,24905588,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
203,24905589,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
204,24905590,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
205,24905591,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
206,24905592,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
207,24905593,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
208,24905594,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
209,24905595,0.771,87.06,87.1,87.0,67.12326,67.12,67.0,False,1718068338690
210,24905596,0.771,1129.64,1129.6,1130.0,870.95244,870.95,871.0,True,1718068340544
211,24905597,0.771,194.28,194.3,194.0,149.78988,149.79,150.0,True,1718068340544
212,24905598,0.771,1128.18,1128.2,1128.0,869.82678,869.83,870.0,True,1718068340544
213,24905599,0.771,629.72,629.7,630.0,485.51412,485.51,486.0,True,1718068340544
214,24905600,0.771,1137.65,1137.6,1138.0,877.12815,877.13,877.0,True,1718068340544
215,24905601,0.772,483.1,483.1,483.0,372.9532,372.95,373.0,False,1718068341665
216,24905602,0.772,11.98,12.0,12.0,9.24856,9.25,9.0,False,1718068348550
217,24905603,0.772,39.31,39.3,39.0,30.34732,30.35,30.0,False,1718068358355
218,24905604,0.771,7.02,7.0,7.0,5.41242,5.41,5.0,True,1718068365063
219,24905605,0.772,2019.73,2019.7,2020.0,1559.23156,1559.23,1559.0,False,1718068378267
220,24905606,0.772,480.87,480.9,481.0,371.23164,371.23,371.0,False,1718068378267
221,24905607,0.772,2151.5,2151.5,2152.0,1660.958,1660.96,1661.0,False,1718068378267
222,24905608,0.772,300.51,300.5,301.0,231.99372,231.99,232.0,False,1718068378267
223,24905609,0.772,1393.45,1393.4,1393.0,1075.7434,1075.74,1076.0,False,1718068378267
224,24905610,0.772,10.53,10.5,11.0,8.12916,8.13,8.0,False,1718068380688
225,24905611,0.772,11.51,11.5,12.0,8.88572,8.89,9.0,False,1718068380688
226,24905612,0.772,777.2,777.2,777.0,599.9984,600.0,600.0,False,1718068380688
227,24905613,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068380688
228,24905614,0.772,31.8,31.8,32.0,24.5496,24.55,25.0,False,1718068380688
229,24905615,0.772,1018.37,1018.4,1018.0,786.18164,786.18,786.0,False,1718068380688
230,24905616,0.772,500.0,500.0,500.0,386.0,386.0,386.0,False,1718068381269
231,24905617,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
232,24905618,0.772,1128.18,1128.2,1128.0,870.95496,870.95,871.0,False,1718068381270
233,24905619,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
234,24905620,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
235,24905621,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
236,24905622,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
237,24905623,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
238,24905624,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
239,24905625,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
240,24905626,0.772,89.44,89.4,89.0,69.04768,69.05,69.0,False,1718068381270
241,24905627,0.773,3142.05,3142.0,3142.0,2428.80465,2428.8,2429.0,False,1718068386161
242,24905628,0.773,10.0,10.0,10.0,7.73,7.73,8.0,False,1718068391450
243,24905629,0.773,394.06,394.1,394.0,304.60838,304.61,305.0,False,1718068391737
244,24905630,0.773,8.57,8.6,9.0,6.62461,6.62,7.0,False,1718068394373
245,24905631,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
246,24905632,0.773,1128.18,1128.2,1128.0,872.08314,872.08,872.0,False,1718068394373
247,24905633,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
248,24905634,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
249,24905635,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
250,24905636,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
